0	0.05
30	103.29
61	44.76
92	75.13
123	97.05
154	21.07
185	109.24
217	73.08
247	20.19
278	110.13
310	61.41
340	69.66
371	66.02
403	4.83
434	109.24
464	73.59
496	12.94
527	109.24
558	71.59
589	40.98
620	110.13
651	61.41
683	68.27
713	83.58
744	93.41
775	71.10
806	47.24
837	43.46
868	92.71
900	80.63
930	26.95
961	110.13
993	60.62
1024	80.63
1054	26.95
1086	110.13
1117	60.23
1147	84.81
1179	78.37
1210	57.22
1242	17.42
1272	109.24
1303	73.08
1335	20.30
1366	109.24
1396	72.58
1428	27.69
1459	110.13
1490	60.23
1521	84.81
1552	78.92
1584	50.19
1614	108.36
1645	83.58
1677	94.12
1708	61.81
1738	63.45
1770	41.71
1801	110.13
1832	61.41
1863	68.27
1894	83.58
1926	94.12
1956	61.81
1987	63.45
2019	41.46
2050	110.13
2080	61.81
2112	63.45
2143	41.46
2174	110.13
2205	61.81
2236	63.87
2268	36.12
2298	110.13
2329	61.81
2361	63.87
2392	35.92
2423	110.13
2454	61.81
2485	64.29
2516	30.22
2547	109.24
2578	73.59
2610	12.87
2640	109.24
2672	72.58
2703	27.69
2734	110.13
2765	59.84
2796	89.30
2827	17.88
2859	110.13
2889	60.23
2920	84.19
2952	86.06
2982	62.22
3014	57.95
3045	5.78
3076	109.24
