0	0.05
30	101.68
61	102.48
92	91.32
123	65.58
154	67.81
185	31.58
217	109.24
247	86.69
278	36.95
310	110.13
340	74.10
371	33.95
403	110.13
434	73.59
464	42.95
496	110.13
527	72.58
558	58.32
589	82.98
620	97.80
651	65.58
683	67.35
713	38.68
744	110.13
776	73.59
806	41.71
837	110.13
869	74.10
900	34.33
930	110.13
962	72.58
993	59.08
1024	70.14
1055	97.05
1086	77.27
1117	86.69
1148	38.24
1179	110.13
1211	72.58
1242	58.32
1272	82.98
1304	96.30
1335	88.63
1366	109.24
1397	88.63
1428	108.36
1459	100.89
1490	12.94
1521	109.24
1553	87.33
1584	26.37
1614	110.13
1646	74.10
1677	34.33
1708	110.13
1739	73.08
1770	51.13
1802	93.41
1832	32.11
1863	110.13
1895	74.10
1926	34.33
1956	110.13
1988	72.58
2019	59.46
2051	64.29
2081	88.63
2112	108.36
2144	101.68
2174	105.78
2205	39.81
2237	111.03
2268	59.84
2299	58.32
2330	81.21
2361	20.84
2393	110.13
2423	74.10
2454	33.76
2486	110.13
2516	73.59
2548	42.95
2579	110.13
2610	72.58
2641	59.08
2672	70.62
2703	89.96
2735	87.98
2765	14.40
2796	109.24
2828	86.69
2859	37.16
2890	110.13
2921	74.61
2952	24.85
2983	110.13
3014	73.08
3045	51.44
3077	88.63
