0	5	0.02	200
10	178	0.87	400
20	282	1.38	600
30	352	1.72	800
40	404	1.97	1000
50	443	2.16	1201
60	479	2.34	1402
70	508	2.48	1603
80	533	2.60	1804
90	555	2.71	2006
100	574	2.80	2207
110	589	2.88	2408
120	605	2.95	2609
130	618	3.02	2810
140	633	3.09	3011
150	641	3.13	3212
160	653	3.19	3414
170	664	3.24	3615
180	673	3.29	3816
190	682	3.33	4017
200	690	3.37	4218
210	696	3.40	4419
220	704	3.44	4620
230	710	3.47	4822
240	716	3.50	5023
250	722	3.53	5224
