0	0.06	0
0	0.06	0
0	0.06	1
0	0.06	1
0	0.06	2
0	0.06	2
0	0.06	3
0	0.06	3
0	0.06	7
0	0.06	16
0	0.06	26
0	0.07	36
0	0.07	48
0	0.07	58
0	0.07	68
0	0.07	78
0	0.07	89
0	0.07	99
0	0.07	110
0	0.07	121
0	0.07	133
0	0.07	144
0	0.08	155
0	0.07	166
0	0.08	179
0	0.07	190
10	0.08	201
10	0.38	214
10	0.73	226
10	0.94	239
10	1.07	251
10	1.14	264
10	1.19	276
10	1.22	288
10	1.26	301
10	1.27	314
10	1.28	326
10	1.30	338
10	1.30	351
10	1.31	363
10	1.32	376
10	1.32	389
20	1.31	401
20	1.57	413
20	1.75	425
20	1.83	439
20	1.86	451
20	1.88	463
20	1.89	476
20	1.89	488
20	1.89	500
20	1.91	514
20	1.91	526
20	1.92	538
20	1.92	550
20	1.93	563
20	1.93	576
20	1.92	588
30	1.92	601
30	2.10	613
30	2.21	625
30	2.26	638
30	2.28	651
30	2.29	663
30	2.29	675
30	2.29	688
30	2.29	700
30	2.28	713
30	2.30	726
30	2.29	738
30	2.30	750
30	2.31	762
30	2.31	776
30	2.31	788
30	2.30	800
40	2.29	813
40	2.44	825
40	2.52	838
40	2.54	850
40	2.56	863
40	2.56	875
40	2.56	887
40	2.56	900
40	2.55	913
40	2.55	925
40	2.57	937
40	2.57	950
40	2.57	962
40	2.57	975
40	2.58	988
40	2.57	1000
50	2.57	1013
50	2.68	1027
50	2.75	1041
50	2.75	1054
50	2.75	1068
50	2.77	1081
50	2.76	1094
50	2.77	1108
50	2.77	1122
50	2.75	1135
50	2.77	1148
50	2.77	1162
50	2.76	1176
50	2.78	1189
50	2.77	1203
60	2.77	1216
60	2.88	1229
60	2.91	1244
60	2.92	1257
60	2.92	1270
60	2.91	1284
60	2.93	1297
60	2.93	1311
60	2.92	1325
60	2.93	1338
60	2.92	1351
60	2.93	1364
60	2.93	1379
60	2.92	1392
60	2.94	1405
70	2.93	1419
70	3.01	1432
70	3.05	1446
70	3.05	1460
70	3.06	1473
70	3.06	1486
70	3.04	1500
70	3.06	1514
70	3.07	1527
70	3.05	1541
70	3.07	1554
70	3.06	1567
70	3.06	1582
70	3.06	1595
70	3.04	1608
80	3.07	1622
80	3.15	1636
80	3.15	1649
80	3.17	1662
80	3.16	1676
80	3.16	1689
80	3.17	1703
80	3.16	1717
80	3.17	1730
80	3.18	1743
80	3.15	1757
80	3.18	1771
80	3.17	1784
80	3.17	1798
80	3.17	1811
90	3.16	1824
90	3.24	1839
90	3.27	1852
90	3.24	1865
90	3.27	1879
90	3.26	1892
90	3.26	1906
90	3.27	1920
90	3.26	1933
90	3.27	1946
90	3.28	1959
90	3.24	1974
90	3.27	1987
90	3.27	2000
90	3.26	2014
100	3.27	2027
100	3.33	2042
100	3.33	2057
100	3.33	2071
100	3.33	2085
100	3.34	2100
100	3.35	2115
100	3.35	2129
100	3.35	2144
100	3.34	2158
100	3.33	2173
100	3.32	2188
100	3.34	2202
100	3.35	2216
110	3.34	2231
110	3.40	2246
110	3.41	2260
110	3.40	2275
